ANID,Ware,Country,Province,Site_Name,Ceramic Type,As,La,Lu,Nd,Sm,U,Yb,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V,,,
 PCD1578,Incensarios,Belize,Cayo,Tipu,Patojo Modeled,7.9244,16.7269,0.3187,16.9892,3.3852,2.0831,1.923,33.6565,4.0661,41.422,3.2908,0.5811,24770.7,3.8638,0,60.4,0.9773,10.2433,86.39,0.8263,0.5724,8.7415,45.09,122.85,53727.4,385.2,211975.8,3.0007,10202.8,132.48,559.3,3210.7,68.65,,,
 PCD1581 ,Incensarios,Belize,Cayo,Tipu,Patojo Modeled,6.0815,19.7463,0.3327,21.3399,4.7435,1.4033,2.5984,50.1721,5.9426,37.748,2.3475,0.857,19769.3,3.144,29.24,43.47,0.7137,8.2179,97.64,0.6835,0.6601,7.1622,60.52,81.1,46802.3,305.6,236099.6,3.8214,10161.9,260.65,680.1,2726.5,47.87,,,
PCD1409,Incensarios,Belize,Cayo,Tipu,La Justa Composite,4.2603,17.9221,0.2583,15.5961,3.582,1.3368,1.8813,38.3244,3.6128,47.177,4.8385,0.5867,19711.6,2.8791,0,68.89,1.0116,10.236,60.05,0.9097,0.4984,12.0617,47.87,54.03,56853.2,197,212747.1,3.2953,6732.3,71.74,601.3,3124.3,51.94,,,
 PCD1410,Incensarios,Belize,Cayo,Tipu,La Justa Composite,6.6152,14.686,0.1939,14.1985,2.7889,1.1472,1.4235,31.1303,2.7122,39.013,4.0252,0.4698,22005.1,2.6344,0,62.84,1.0219,7.9289,264.19,0.627,0.3522,6.8799,23.26,59.77,43614.1,213.1,215045.8,2.0833,6108.5,40.58,547.6,2368.4,49.06,,,
 PCD1417,Incensarios,Belize,Cayo,Tipu,La Justa Composite,4.4846,30.7576,0.426,28.6593,6.4307,1.6427,3.2076,75.7609,7.5436,73.776,6.7612,1.0614,27646.7,4.4398,0,104.03,1.1757,15.7274,55.25,1.382,0.8602,16.5475,85.26,81.85,91568.9,467.9,107533.5,5.6107,13447.1,94.66,897,4201,85.12,,,
 *PCD1427,Incensarios,Belize,Cayo,Tipu,La Justa Composite,2.1959,16.5225,0.227,14.4595,2.8586,1.3596,1.7307,31.9795,5.6167,35.384,2.9139,0.5102,15753.3,4.0085,0,55.69,0.6891,7.8527,79.72,0.8857,0.4457,8.2891,57.14,97.74,51854,290.3,200799.4,3.1328,8143,357.85,885.5,3205.7,45.12,,,
 PCD1435,Incensarios,Belize,Cayo,Tipu,La Justa Composite,23.9365,33.4217,0.5278,31.021,6.7411,2.8313,4.0549,108.5525,6.4771,40.377,4.1709,0.8717,32297.9,9.3234,51.99,83.85,6.1948,13.3316,65.65,1.7027,0.9723,21.821,120.47,177.07,122857.3,997.8,23279.6,5.9627,18275.6,458.46,3178.5,4258.2,123.72,,,
 *PCD1442,Incensarios,Belize,Cayo,Tipu,La Justa Composite,9.8619,17.5331,0.3661,18.2387,4.535,0.9948,2.9613,52.8165,5.9747,41.4763,0.4632,0.9676,23501.9,3.7388,34.43,7.07,0.8924,10.4244,72.01,0.5205,0.6652,5.5515,52.59,85.05,62418.3,206.3,223956.3,3.8576,2457.5,227.16,231.2,3108.6,73.91,,,
 *PCD1459,Incensarios,Belize,Cayo,Tipu,La Justa Composite,1.8374,23.3681,0.292,18.9842,4.6794,1.6624,2.2001,52.8994,8.1811,24.2753,0.7715,0.953,19547.1,4.6301,0,18.01,0.7806,7.0102,61.78,0.4324,0.6867,6.0891,82.09,127.63,52069.1,202.4,203347.9,3.5622,7200.6,466.32,1257.8,2916.2,39.54,,,
 PCD1481,Incensarios,Belize,Cayo,Tipu,La Justa Composite,3.1075,18.8815,0.2426,16.3806,3.7685,1.1028,1.8898,44.3497,5.5425,33.3613,2.5383,0.6441,16059.5,3.8436,0,48.78,0.563,7.5102,50.46,0.7997,0.5909,7.7163,53.22,97.78,47054,280.2,205061.7,2.6902,8022.3,518.44,606.8,3379.7,48,,,
 PCD1547,Incensarios,Belize,Cayo,Tipu,La Justa Composite,2.3853,27.5541,0.3826,22.2247,4.6769,2.1439,2.7933,70.0789,6.1837,45.078,4.3801,0.8073,18260.5,5.0616,0,85.65,0.8958,10.2987,50.39,1.1408,0.7316,11.8834,92.61,130.05,72967.8,469.9,132749,4.75,17085.9,285.1,2212.2,4117.8,56.14,,,
 PCD1579 ,Incensarios,Belize,Cayo,Tipu,La Justa Composite,6.6263,18.7077,0.3081,20.1533,4.2047,1.8257,2.3182,56.0834,8.0045,40.867,3.2582,0.7259,23521.6,3.5902,23.14,59.19,0.9105,9.3941,61,0.8015,0.524,8.4804,44.87,93.25,50288,250.7,206674.1,3.2725,9046,192.66,451.2,2679.4,62.49,,,
*PCD1395,Incensarios,Belize,Cayo,Tipu,Extranjeros Impressed,2.592,15.1295,0.1887,14.4461,2.8072,0.9419,1.5786,35.021,4.8144,30.005,2.4516,0.4834,12649.7,3.0795,0,47.13,0.6049,6.4988,55.75,0.7167,0.4027,7.1871,52.25,68.82,42730.8,221.3,244874.6,2.3984,7895.8,334.38,828.1,2981.2,36.09,,,
 PCD1439,Incensarios,Belize,Cayo,Tipu,Extranjeros Impressed,4.3638,24.6432,0.2966,21.1976,4.6188,1.5598,2.2953,54.0356,7.948,46.307,1.7035,0.8865,20208.4,4.3672,0,10.12,0.6864,7.5031,74.59,0.5163,0.632,7.1422,58.11,109.26,60071.3,212.3,219418.8,3.4563,2597.6,608.73,709,2497.5,44.69,,,
 *PCD1472,Incensarios,Belize,Cayo,Tipu,Extranjeros Impressed,3.9629,17.7162,0.2472,13.3664,3.1149,1.3081,1.8581,40.9585,6.7337,33.5871,3.3464,0.5578,13073.4,3.7362,0,59.49,0.6581,7.5952,69.48,0.8452,0.5344,8.4308,50.74,103.01,46593.8,233.1,212088.3,2.8203,9243.6,374.98,715.3,3127,40.26,,,
 *PCD1486,Incensarios,Belize,Cayo,Tipu,Extranjeros Impressed,3.0157,17.1023,0.1932,14.4913,3.2137,1.2803,1.5936,36.5178,5.2133,34.7147,0.9421,0.6469,14307.9,3.0065,23.76,7.16,0.4768,5.3206,90.64,0.3331,0.4665,4.8663,34.82,76.95,41048.6,97.7,259794.6,2.3907,3135.3,356.84,428.8,1839,35.23,,,
 PCD1487,Incensarios,Belize,Cayo,Tipu,Extranjeros Impressed,3.8611,13.8433,0.1769,13.5234,2.7121,1.3726,1.3118,26.501,4.0239,29.1955,1.1018,0.5416,14314.1,2.4904,0,8.73,0.4157,5.2248,184.79,0.3415,0.355,4.456,37.56,62.41,42858.9,212.9,270386.8,2.3072,2114.5,270.44,396.4,2046.7,32.76,,,
 PCD1500,Incensarios,Belize,Cayo,Tipu,Extranjeros Impressed,10.6706,23.2075,0.3921,18.5718,4.6989,2.5034,2.8949,47.7474,10.0584,55.3827,4.7683,0.8362,31833.6,5.0366,0,92.67,1.4731,13.4449,0,1.1605,0.644,12.5034,63.37,130.96,73057.6,358.3,139417.4,3.7167,15935.5,485.34,985.1,4168.1,85.44,,,
 PCD1544,Incensarios,Belize,Cayo,Tipu,Extranjeros Impressed,2.5665,17.4028,0.2395,15.3251,3.1257,1.2144,1.7615,34.2885,4.1721,29.892,2.6121,0.5158,11855.8,3.0755,0,49.01,0.5512,6.3622,102.98,0.7082,0.4143,6.9065,54.3,79.36,40006,263.8,251541.8,2.725,7185.3,396.12,726.2,2643.1,31.28,,,
 *PCD1560,Incensarios,Belize,Cayo,Tipu,Extranjeros Impressed,3.7264,20.2765,0.2766,18.8767,3.7566,1.5468,2.0989,43.103,8.2642,33.399,3.6244,0.6436,18944.9,4.4849,0,58.7,0.769,8.204,56.06,0.8786,0.4756,9.5222,68.88,114.15,57871.2,293.7,188793.1,2.5935,10369.5,907.69,1416.8,2726,44.44,,,
PCD1464,Incensarios,Belize,Cayo,Tipu,Chilo Unslipped,18.9275,12.8533,0.345,11.7395,3.2048,2.8878,2.3628,48.0828,10.4987,49.5613,6.2468,0.5855,35072.9,3.9144,37.67,54.98,1.4035,12.7149,70.39,0.8073,0.5814,11.0412,71.51,95,72400.9,272.3,170348.7,3.3228,9015.2,369.01,454.4,3912.9,99.04,,,
PCD1467,Incensarios,Belize,Cayo,Tipu,Chilo Unslipped,7.4853,18.9066,0.3596,19.8998,5.1371,1.9135,2.7454,47.2724,8.5458,46.2695,4.4045,0.9229,26791.6,2.9815,0,77.69,1.2882,10.8144,40.91,0.7247,0.7962,8.6482,62.52,98.54,59938.9,350.4,195902.5,4.3535,12249.9,148.17,626.8,3384,82.77,,,
PCD1468,Incensarios,Belize,Cayo,Tipu,Miscellaneous Censers,5.263,37.9267,0.337,32.1638,7.0606,1.0613,2.8331,100.5124,4.3276,76.9799,0.5306,1.4001,22644.1,6.4556,0,8.97,0.659,8.9505,137.3,0.8847,0.9611,10.6745,74.57,167.95,61202.8,280,167106.5,4.7348,6197,126.07,1265.1,4137.7,42.8,,,
 *PCD1512,Incensarios,Belize,Cayo,Tipu,Miscellaneous Censers,8.0419,16.1865,0.3018,16.8494,4.048,1.8223,2.2264,39.2339,5.0943,36.0191,3.3188,0.6637,21156.7,3.4111,25.06,46.05,0.9049,7.7269,0,0.7087,0.5574,8.4677,63.56,91.06,47006.1,184.9,188631.3,3.0175,5437.5,220.42,313.2,2801.7,48.72,,,
 PCD1525,Incensarios,Belize,Cayo,Tipu,Miscellaneous Censers,6.8559,28.0846,0.3899,25.4036,5.444,2.1776,2.8877,60.4242,8.3943,59.5379,4.5399,0.9455,30189.5,4.5829,0,86.81,1.3615,11.7231,46.07,1.1527,0.76,11.8337,68.82,113.45,66152.1,477.6,163387.9,4.2391,13353,457.11,821.6,4230.5,69.9,,,
 PCD1534 ,Incensarios,Belize,Cayo,Tipu,Miscellaneous Censers,2.6951,28.2774,0.4021,29.6972,5.6466,1.9907,2.905,66.5203,5.3405,36.057,3.0843,0.8587,15120.4,6.5309,27.16,63.53,0.6869,7.8735,37.46,1.0681,0.741,10.3931,78.63,141.22,51977.8,218.1,168158.1,3.5065,9833.4,423.83,1108.6,4022.2,34.43,,,
PCD1460,Incensarios,Belize,Cayo,Tipu,Pozo Composite,13.7955,17.9903,0.2927,15.3023,3.626,1.576,2.064,61.6915,15.275,63.414,1.8857,0.7347,40552.3,5.5175,0,18.71,1.0165,12.1075,86.4,0.9327,0.4858,9.0129,59.75,159.31,75097.1,364.9,155175.7,2.9807,5144.2,897.47,405.7,4980.8,105.67,,,
*PCD1583,Incensarios,Belize,Cayo,Tipu,Pitufo Modeled,5.0014,14.5515,0.2642,15.5889,2.9237,2.1657,1.6272,29.1972,3.2707,24.904,0.2715,0.6143,16689.1,3.1674,20.69,8.47,0.6414,7.1227,589.06,0.4583,0.4373,6.0147,79.58,78.98,50774.8,440.6,255925.3,2.3037,3825.1,146.9,384.9,2664.7,54.37,,,
*PCD1482,Incensarios,Belize,Cayo,Tipu,Daub,0.6365,0.4222,0.0105,1.1977,0.1151,0,0.1185,0.6619,0.6185,1.0736,0.0442,0.0232,230,0.0418,0,0,0.0611,0.1,42.1,0,0.0264,0.0567,6.37,0,1736.2,0,390452.4,0,0,33.84,110.1,1003.8,0,,,
PCD1469,Incensarios,Belize,Cayo,Tipu,Daub,5.6438,53.3395,0.6027,43.2895,8.9272,4.2164,4.55,111.7522,10.3536,52.2153,4.6666,1.4861,26128.6,12.2957,0,100.13,1.3352,9.3762,0,2.1354,1.2191,14.0011,71.54,281.16,49136,355.8,3937.1,7.2435,16808.8,575.87,2168.7,8483.9,61.61,,,
PCD1585,Incensarios,Belize,Cayo,Tipu,Daub,11.4686,53.2259,0.7138,51.2621,9.6185,4.5613,5.0836,112.244,12.4342,59.599,5.8657,1.6338,32384.2,12.1694,0,112.03,1.754,11.3552,0,2.1534,1.3264,15.8887,68.88,326.4,59726.9,347.3,4912.8,7.8846,17273.2,639.29,2015.9,7589.2,79.43,,,
PCD931,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD932,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD933,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD934,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD936,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD937,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD939,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCD940,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD941,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD942,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD943,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD944,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD945,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD946,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD947,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD948,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD949,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD953,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD955,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD956,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD957,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD958,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD959,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD960,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD961,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD962,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD963,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD967,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD968,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD969,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD970,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD971,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD972,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD973,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD974,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD975,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD976,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD977,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD978,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD987,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD988,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD990,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD991,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD992,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD993,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD995,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD996,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCD998,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD999,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1001,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1002,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1003,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1005,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1007,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1113,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1117,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1118,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1126,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1128,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1129,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1130,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1131,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1132,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1135,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1136,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1137,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1138,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1139 ,Redwares,Belize,Corozal,Santa Rita Corozal,Rita Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*PCD1115,Redwares,Belize,Corozal,Santa Rita Corozal,Kak Polychrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCD954,Redwares,Belize,Corozal,Santa Rita Corozal,Tulum Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*PCD1120,Redwares,Belize,Corozal,Santa Rita Corozal,Tulum Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*PCD1121,Redwares,Belize,Corozal,Santa Rita Corozal,Tulum Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCD938,Redwares,Belize,Corozal,Santa Rita Corozal,Cimital Buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD986,Redwares,Belize,Corozal,Santa Rita Corozal,Cimital Buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD989,Redwares,Belize,Corozal,Santa Rita Corozal,Cimital Buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD997,Redwares,Belize,Corozal,Santa Rita Corozal,Cimital Buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCD1004,Redwares,Belize,Corozal,Santa Rita Corozal,Cimital Buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1112,Redwares,Belize,Corozal,Santa Rita Corozal,Cimital Buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1134,Redwares,Belize,Corozal,Santa Rita Corozal,Cimital Buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*PCD1133,Redwares,Belize,Corozal,Santa Rita Corozal,Paxcamám Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCD950,Insencariou,Belize,Corozal,Santa Rita Corozal,Chen Mul Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1036,Insencariou,Belize,Corozal,Santa Rita Corozal,Chen Mul Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1037,Insencariou,Belize,Corozal,Santa Rita Corozal,Chen Mul Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1038,Insencariou,Belize,Corozal,Santa Rita Corozal,Chen Mul Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1039,Insencariou,Belize,Corozal,Santa Rita Corozal,Chen Mul Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1040,Insencariou,Belize,Corozal,Santa Rita Corozal,Chen Mul Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1041,Insencariou,Belize,Corozal,Santa Rita Corozal,Chen Mul Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1042,Insencariou,Belize,Corozal,Santa Rita Corozal,Chen Mul Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1043,Insencariou,Belize,Corozal,Santa Rita Corozal,Chen Mul Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1044,Insencariou,Belize,Corozal,Santa Rita Corozal,Chen Mul Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1045,Insencariou,Belize,Corozal,Santa Rita Corozal,Chen Mul Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1046,Insencariou,Belize,Corozal,Santa Rita Corozal,Chen Mul Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1047,Insencariou,Belize,Corozal,Santa Rita Corozal,Chen Mul Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1048,Insencariou,Belize,Corozal,Santa Rita Corozal,Chen Mul Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1049,Insencariou,Belize,Corozal,Santa Rita Corozal,Chen Mul Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1050,Insencariou,Belize,Corozal,Santa Rita Corozal,Chen Mul Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1051,Insencariou,Belize,Corozal,Santa Rita Corozal,Chen Mul Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1052,Insencariou,Belize,Corozal,Santa Rita Corozal,Chen Mul Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1053,Insencariou,Belize,Corozal,Santa Rita Corozal,Chen Mul Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1054,Insencariou,Belize,Corozal,Santa Rita Corozal,Chen Mul Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1055,Insencariou,Belize,Corozal,Santa Rita Corozal,Chen Mul Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1056,Insencariou,Belize,Corozal,Santa Rita Corozal,Chen Mul Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1057,Insencariou,Belize,Corozal,Santa Rita Corozal,Chen Mul Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PCD1058,Insencariou,Belize,Corozal,Santa Rita Corozal,Chen Mul Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 *PCD1059,Insencariou,Belize,Corozal,Santa Rita Corozal,Chen Mul Modeled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
