ANID,Ware,Country,Province,Site_Name,Ceramic Type,As,La,Lu,Nd,Sm,U,Yb,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V,,,
 PCD1492,Redwares,Belize,Cayo,Tipu,Paxcamán Red,7.8534,19.8985,0.3227,19.094,4.1624,2.4083,1.9641,37.772,5.1125,30.1028,0.2333,0.8515,23139.2,3.8546,0,7.66,0.7008,9.0193,535.81,0.5926,0.5254,7.9477,58.53,109.04,63423.7,430.6,222008.6,3.103,7409.1,149.6,656.9,4205.8,49.98,,,
 PCD1493,Redwares,Belize,Cayo,Tipu,Paxcamán Red,10.4545,19.4414,0.3073,18.6535,4.1209,2.2955,2.0134,39.2202,5.3163,31.6525,0.2048,0.8532,24891.1,4.0269,0,4.61,0.678,8.9126,450.51,0.5573,0.535,7.6176,55.7,96.18,62105.4,553.6,225429.5,3.0166,4251.8,210.31,653.6,3345.1,46.98,,,
 PCD1494,Redwares,Belize,Cayo,Tipu,Paxcamán Red,6.2562,16.45,0.2719,15.0396,3.4936,1.9905,1.8097,33.9278,3.9408,30.3616,0.2707,0.7024,20622.4,3.7035,0,5.23,0.665,8.0546,546.5,0.5323,0.4419,7.2352,46.95,96.87,57409.1,535.1,242362.5,2.4516,4424.6,153.91,467.1,3802,73.41,,,
 PCD1499,Redwares,Belize,Cayo,Tipu,Paxcamán Red,8.5718,22.4465,0.3598,21.8115,4.7715,2.4427,2.5459,46.3113,6.574,35.1824,0.3595,0.988,26119.9,4.3316,31.31,10.2,0.7826,9.9116,507.79,0.6556,0.6408,8.5999,61.4,106.51,71443.4,545,204835.4,3.571,4701.4,238.68,625,3739.8,64.58,,,
 PCD1504,Redwares,Belize,Cayo,Tipu,Paxcamán Red,6.1028,18.1949,0.3008,16.8511,3.8872,2.369,1.9628,37.4703,4.8014,32.0714,0.3209,0.7702,23487.2,4.1094,0,8.1,0.8555,8.9191,519.92,0.5839,0.4597,8.2553,58.19,106.98,63442.8,438.8,225141.7,2.7993,4452.8,160.25,648.3,3153.6,75.38,,,
 PCD1508,Redwares,Belize,Cayo,Tipu,Paxcamán Red,7.0095,19.533,0.2958,20.814,4.0595,2.3007,2.2131,37.6166,4.9553,27.5987,0.2629,0.8143,23206,3.7777,18.53,6.84,0.7331,0.7331,8.9065,563.66,0.5728,7.81,53.06,100.27,61383.7,575.3,235538.6,2.704,4074.7,257.63,481.1,2967.7,63.96,,,
 PCD1510,Redwares,Belize,Cayo,Tipu,Paxcamán Red,6.0392,17.0886,0.2806,15.2879,3.6307,2.0425,1.9195,35.5781,4.509,27.3773,0.2723,0.7282,20545,3.6404,20.45,4.32,0.7195,8.0267,558.27,0.5312,0.4424,7.1039,44.01,94.78,55342.2,437.4,265514.5,2.3842,2597.2,179.06,423.2,3185.2,57.05,,,
 PCD1513,Redwares,Belize,Cayo,Tipu,Paxcamán Red,5.7934,20.0739,0.2993,20.4214,4.218,2.3524,2.1627,38.8134,5.1026,29.8483,0.3033,0.8398,22289,3.9649,15.87,7.86,0.7386,8.552,574.01,0.5892,0.5003,7.7594,53.4,107.93,59498.2,483,235975.5,3.0125,3720.6,178.81,770.3,3257.5,73.95,,,
 PCD1514,Redwares,Belize,Cayo,Tipu,Paxcamán Red,8.4599,22.5713,0.3901,21.9101,4.8655,2.1852,2.3655,46.7681,6.3658,36.2257,0.3102,0.9765,26368.1,4.3951,22.52,7.37,0.8785,10.1129,517.2,0.6846,0.5962,8.7727,52.41,113.89,72239.4,505.9,207335.3,3.5319,4535,191.16,626.7,3643.2,76.68,,,
 PCD1529,Redwares,Belize,Cayo,Tipu,Paxcamán Red,8.3215,22.7497,0.38,20.822,4.882,2.6932,2.3986,46.2176,6.7543,33.9716,0.34,1.0015,26779.3,4.3984,28.8,6.2,0.9074,10.2092,479.64,0.6684,0.7706,8.7721,66.36,108.39,74340.2,485.7,197405.1,3.645,4299.6,222.5,594.8,3781,70.39,,,
 PCD1531,Redwares,Belize,Cayo,Tipu,Paxcamán Red,5.96,15.644,0.2578,15.7633,3.3792,2.2258,1.945,31.8314,4.436,26.3435,0.3625,0.6616,18435.1,3.3285,0,6.6,0.6311,7.3509,603.3,0.4976,0.4006,6.5564,46.38,85.02,54801.6,327,251798.8,2.401,3384.8,351.35,560.6,3047.9,50,,,
 PCD1532,Redwares,Belize,Cayo,Tipu,Paxcamán Red,8.5484,17.0762,0.2757,15.5498,3.7045,1.9307,1.7583,35.2772,5.864,27.0165,0.2658,0.7283,20804.5,3.4964,0,7.68,0.7439,7.6222,474.44,0.5155,0.4435,6.9882,52.11,93.63,57324.8,424,246921.1,2.5419,5390.2,571.08,797,3288.3,54.98,,,
 PCD1540,Redwares,Belize,Cayo,Tipu,Paxcamán Red,6.9103,20.4403,0.3252,22.3448,4.3257,2.1764,2.1411,38.226,5.9387,31.3839,0.2531,0.8619,25621.3,4.0986,15.04,6.64,0.832,9.7371,500.48,0.6264,0.6431,8.2262,63.51,103.92,70349,508,211438,3.2844,2873.5,307.64,623.9,3407.8,54.57,,,
 PCD1541,Redwares,Belize,Cayo,Tipu,Paxcamán Red,8.9639,27.7623,0.3664,27.4632,5.5416,1.7495,2.5775,58.2819,7.1816,34.4333,0.5197,1.0971,25238.8,5.0574,22.72,9.97,0.903,8.2844,91.2,0.5929,0.7258,8.9558,46.79,125.56,61294.8,386.6,219601.3,4.0672,6430.3,205.05,680.9,3286.3,76.93,,,
 PCD1550,Redwares,Belize,Cayo,Tipu,Paxcamán Red,6.5733,17.8535,0.2654,17.6977,3.6585,2.2695,2.0932,36.181,5.1608,27.098,0.3185,0.7682,21790.6,3.728,19.91,7.18,0.6985,7.8055,572.64,0.5238,0.4659,6.7696,59.49,114.17,61433.4,478.7,230779.6,2.9351,2274.9,192.58,591.4,3000.2,63,,,
 PCD1551,Redwares,Belize,Cayo,Tipu,Paxcamán Red,4.3637,9.9822,0.2057,9.0396,1.9924,1.8424,1.2074,19.0065,3.3179,22.481,0.2412,0.4152,17011.1,3.2828,0,7.11,0.6775,6.358,263.38,0.412,0.2413,5.7264,59.34,83.59,49230.7,384.5,249906.6,1.5518,3345.4,136.43,499.6,2726.3,43.36,,,
 *PCD1552,Redwares,Belize,Cayo,Tipu,Paxcamán Red,6.9161,37.9878,0.4782,32.8672,5.726,3.3193,3.2721,71.4448,11.6284,23.215,2.8353,1.2188,23952,7.6407,0,50.82,1.2625,8.5468,137.8,0.8552,0.6872,11.4702,81.15,183.86,97576.9,624.7,17758.1,4.3102,15479.5,1096.15,10400.4,4349.9,40.6,,,
 PCD1554,Redwares,Belize,Cayo,Tipu,Paxcamán Red,5.0923,13.4058,0.2337,15.0182,2.7455,1.6815,1.3325,26.9022,3.4643,22.2,0.2674,0.5665,16755,2.9408,0,4.45,0.5768,6.3195,679.07,0.4515,0.3797,5.6678,42.41,78.38,48944.5,395.2,266156.6,2.1494,1698,171.31,442.5,2612.9,55.83,,,
 PCD1556,Redwares,Belize,Cayo,Tipu,Paxcamán Red,7.98,22.0669,0.3481,19.9887,4.6388,2.4988,2.5266,45.6933,6.1624,33.071,0.2608,0.983,25560.6,4.3193,19.53,7.83,0.734,9.7929,493.39,0.6637,0.6527,8.2377,68.6,126.33,73323.6,561,202125.2,4.0585,5020.6,263.1,675.8,3524.2,70.43,,,
 PCD1557,Redwares,Belize,Cayo,Tipu,Paxcamán Red,5.3788,14.4716,0.2611,14.5829,3.0646,1.762,1.5431,28.4672,5.4831,23.72,0.2719,0.6314,16970.2,2.9299,0,10.11,0.6284,6.4569,575.64,0.4551,0.4321,5.6025,73.41,107.93,51209.8,399,251767.5,2.2345,5191.9,238.94,744.3,3357.7,49.79,,,
 PCD1567,Redwares,Belize,Cayo,Tipu,Paxcamán Red,4.7674,9.9106,0.2187,8.8364,2.0402,1.8088,1.2773,18.859,3.3572,21.987,0.2514,0.4085,16686.6,3.269,7.22,7.92,0.7176,6.3241,254.09,0.4154,0.265,5.6541,57.84,101.19,49036.5,387.9,263330.2,1.6146,3098.3,152.01,518.9,2788.8,49.01,,,
 PCD1568,Redwares,Belize,Cayo,Tipu,Paxcamán Red,8.7712,23.763,0.3517,24.8449,5.0134,2.4516,2.5052,54.0083,6.9184,31.253,0.3465,1.0587,24735.8,4.1555,0,6.82,0.7776,9.0457,608.65,0.5976,0.6493,7.9029,59.34,106.09,66618.7,404.9,242154.8,3.5739,1747.3,336.8,551.6,3245.6,78.9,,,
 PCD1570,Redwares,Belize,Cayo,Tipu,Paxcamán Red,6.4441,15.1236,0.2845,13.6836,3.1247,1.8164,1.6883,28.4117,4.9351,21.413,0.1663,0.6464,16539.1,2.9639,0,4.37,0.6055,6.4867,583.75,0.4438,0.4331,5.5133,57.59,70.89,53380.9,424.1,263484.3,2.3509,2657.7,209.71,454.8,2497.7,43.55,,,
 PCD1572,Redwares,Belize,Cayo,Tipu,Paxcamán Red,9.9994,31.9285,0.4346,32.5447,6.1989,2.3436,3.2272,66.474,8.2753,40.358,0.4171,1.3253,27896.2,6.2378,41.15,8.19,0.8434,9.648,375.36,0.6724,0.8349,9.8557,62.48,194.92,70836.4,421.8,213079.9,4.8773,4921.1,362.23,671,3699.2,86.1,,,
